Year,ExchangeRateMeasuresIndex,ddExchangeRateMeasures,ServicesIndex,ddServices,GoodsIndex,ddGoods,FinancialSectorIndex,ddFinancialSector,CapitalAccountIndex,ddCapitalAccount,AppliestoAllIndex,ddAppliestoAll,ResidentIndex,NonResidentIndex,ddResident,ddNonResident,PaymentInwardsIndex,ddPaymentInwards,PaymentOutwardsIndex,ddPaymentOutwards,TradeInwardsIndex,ddTradeInwards,TradeOutwardsIndex,ddTradeOutwards
2010,0.24,0.48,35.75,184.48000000000002,87.98,766.96,16.560000000000002,90.88,50.04,428.32,14.85,110.56,128.34,20.99,1087.04,165.6,99.32,826.4,83.49,687.84,2.96,32.32,11.02,92.8
2011,0.24,0.48,35.75,184.48000000000002,87.98,766.96,16.56,90.88000000000001,50.04,428.32,14.85,110.56,128.34,20.990000000000002,1087.04,165.6,99.32,826.4,83.49,687.84,2.96,32.32,11.02,92.8
2012,0.24,0.48,35.75,184.48,87.98,766.96,16.56,90.88,50.04,428.32,14.85,110.56,128.34,20.99,1087.04,165.6,99.32,826.4,83.49,687.84,2.96,32.32,11.02,92.8
2013,0.24,0.48,35.75,184.48,87.98,766.96,16.560000000000002,90.88,50.04,428.32,14.85,110.56,128.34,20.99,1087.04,165.6,99.32,826.4,83.49,687.84,2.96,32.32,11.02,92.8
2014,0.24,0.48,35.75,184.48000000000002,87.98,766.96,16.56,90.88,50.04,428.32,14.85,110.56,128.34,20.990000000000002,1087.04,165.6,99.32,826.4,83.49,687.84,2.96,32.32,11.02,92.8
2015,0.24,0.48,35.75,184.48,87.98,766.96,16.56,90.88,50.04,428.32,14.85,110.56,128.34,20.99,1087.04,165.6,99.32000000000001,826.4,83.49,687.84,2.96,32.32,11.02,92.8
2016,0.0,0.48,9.4,184.48,85.92,766.8,12.88,66.56,29.12,264.96000000000004,18.060000000000002,132.96,85.0,4.52,770.24,32.800000000000004,98.15,833.92,36.62,311.68,4.4399999999999995,43.52,8.559999999999999,81.6
2017,0.0,0.48,9.399999999999999,184.48000000000002,85.92,766.8,12.88,66.56,29.12,264.96,18.060000000000002,132.96,85.0,4.52,770.24,32.8,98.15,833.9200000000001,36.62,311.68,4.4399999999999995,43.52,8.559999999999999,81.6
2018,0.0,0.48,9.399999999999999,184.48000000000002,85.92,766.8,12.88,66.56,29.12,264.96000000000004,18.06,132.96,85.0,4.52,770.24,32.800000000000004,98.15,833.92,36.62,311.68,4.4399999999999995,43.52,8.559999999999999,81.6
2019,0.0,0.48,9.4,184.48000000000002,85.92,766.8,12.88,66.56,29.12,264.96,18.060000000000002,132.96,85.0,4.52,770.24,32.800000000000004,98.15,833.9200000000001,36.62,311.68,4.4399999999999995,43.52,8.559999999999999,81.6
2020,0.0,0.48,9.4,184.48000000000002,85.92,766.8,12.88,66.56,29.119999999999997,264.96000000000004,18.060000000000002,132.96,85.0,4.52,770.24,32.800000000000004,98.15,833.92,36.62,311.68,4.4399999999999995,43.52,8.56,81.6
2021,0.0,0.48,9.4,184.48,85.92,766.8,12.88,66.56,29.12,264.96,18.06,132.96,85.0,4.52,770.24,32.800000000000004,98.15,833.92,36.62,311.68,4.4399999999999995,43.52,8.559999999999999,81.6
2022,0.0,0.48,9.4,184.48,85.92,766.8,12.88,66.56,29.12,264.96000000000004,18.060000000000002,132.96,85.0,4.52,770.24,32.800000000000004,98.15,833.9200000000001,36.62,311.68,4.4399999999999995,43.52,8.559999999999999,81.6
2023,0.0,0.48,0.0,184.48,0.0,766.8,0.0,66.56,0.0,264.96,0.0,132.96,0.0,0.0,770.24,32.8,0.0,833.92,0.0,311.68,0.0,43.52,0.0,81.6
