Year,ExchangeRateMeasuresIndex,ddExchangeRateMeasures,ServicesIndex,ddServices,GoodsIndex,ddGoods,FinancialSectorIndex,ddFinancialSector,CapitalAccountIndex,ddCapitalAccount,AppliestoAllIndex,ddAppliestoAll,ResidentIndex,NonResidentIndex,ddResident,ddNonResident,PaymentInwardsIndex,ddPaymentInwards,PaymentOutwardsIndex,ddPaymentOutwards,TradeInwardsIndex,ddTradeInwards,TradeOutwardsIndex,ddTradeOutwards,EServices,EAppliestoAll,EResident,EExchangeRateMeasure,ENonResident,EPaymentInwards,EFinancialSector,ECapitalAccount,ETradeInwards,ETradeOutwards,EGoods,EPaymentOutwards
2010,0.18,14.16,3.8,123.2,83.01,250.96,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.56,104.64000000000001,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847094,7.585227272727272,33.07698437998087,2.344665885111372
2011,0.18,14.16,3.8,123.2,83.01,250.96,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.56,104.64,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847094,7.585227272727272,33.07698437998087,2.344665885111372
2012,0.18,14.16,3.8,123.2,83.01,250.95999999999998,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96000000000004,6.56,104.64,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847094,7.585227272727272,33.07698437998088,2.3446658851113713
2013,0.18,14.16,3.8,123.2,83.01,250.96,10.959999999999999,25.2,5.9,126.88000000000001,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.56,104.64,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.6500630517023955,6.269113149847094,7.585227272727272,33.07698437998087,2.344665885111372
2014,0.18,14.16,3.8,123.2,83.01,250.95999999999998,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.349999999999994,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.56,104.64,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150373,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847094,7.585227272727272,33.07698437998088,2.344665885111372
2015,0.18,14.16,3.8,123.2,83.01,250.96,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.56,104.64,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847094,7.585227272727272,33.07698437998087,2.344665885111372
2016,0.18,14.16,3.8,123.2,83.01,250.96,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.56,104.64000000000001,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847094,7.585227272727272,33.07698437998087,2.344665885111372
2017,0.18,14.16,3.8,123.2,83.01,250.96,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.5600000000000005,104.64,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847096,7.585227272727272,33.07698437998087,2.344665885111372
2018,0.18,14.16,3.8,123.2,83.01,250.96,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.56,104.64,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847094,7.585227272727272,33.07698437998087,2.344665885111372
2019,0.18,14.16,3.8,123.2,83.01,250.95999999999998,10.959999999999999,25.2,5.9,126.88,19.48,252.96,53.35,3.8,673.52,129.28,89.17,287.92,6.4,272.96,6.56,104.64,10.68,140.8,3.0844155844155843,7.700822264389627,7.921071386150374,1.271186440677966,2.939356435643564,30.970408446790778,43.49206349206349,4.650063051702396,6.269113149847094,7.585227272727272,33.07698437998088,2.344665885111372
