,index,Year,Name,CategoryName,SubCategoryName,ServicesIndex,AppliestoAllIndex,ResidentIndex,PaymentOutwardsIndex,ExchangeRateMeasuresIndex,NonResidentIndex,PaymentInwardsIndex,FinancialSectorIndex,CapitalAccountIndex,TradeInwardsIndex,TradeOutwardsIndex,GoodsIndex,ddExchangeRateMeasures,ddServices,ddGoods,ddFinancialSector,ddCapitalAccount,ddAppliestoAll,ddResident,ddNonResident,ddPaymentInwards,ddPaymentOutwards,ddTradeInwards,ddTradeOutwards,TotWeight,TotalIndex,ECLI
0,0,2010,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,BANKING SUPERVISION REQUIREMENTS (PRUDENTIAL MEASU,0.0,2.59,2.59,0.0,0.0,0.0,2.59,0.0,0.0,0.0,0.0,2.37,0.0,0.0,16.16,0.0,0.0,21.28,21.28,0.0,21.28,0.0,0.0,0.0,80.0,10.14,12.675
1,1,2010,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,CAPITAL TRANSACTIONS,3.0,0.0,7.6899999999999995,14.879999999999999,0.0,9.92,4.96,0.0,11.879999999999999,0.0,0.0,5.95,0.0,8.0,48.4,0.0,96.96000000000001,0.0,62.480000000000004,80.64,40.32,120.96000000000001,0.0,0.0,457.76,58.28,12.731562390772458
2,2,2010,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,COMMERCIAL BANKS AND OTHER CREDIT INSTITUTIONS,0.0,0.0,16.560000000000002,3.3200000000000003,0.0,0.0,14.07,16.560000000000002,0.0,0.0,0.0,4.970000000000001,0.0,0.0,28.48,90.88,0.0,0.0,90.88,0.0,73.60000000000001,23.04,0.0,0.0,306.88000000000005,55.480000000000004,18.078727841501564
3,3,2010,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL INWARD,0.0,4.0,6.48,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.97,0.0,0.0,39.28,0.0,0.0,32.64,51.6,0.0,36.72,0.0,0.0,0.0,160.24,19.95,12.450074887668496
4,4,2010,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL OTHER,0.0,0.0,3.96,0.0,0.0,0.0,7.43,0.0,3.96,0.0,0.0,6.95,0.0,40.72,56.88,0.0,32.32,0.0,32.32,0.0,60.72,0.0,0.0,0.0,222.95999999999998,22.3,10.00179404377467
5,5,2010,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,FINANCIAL OUTWARD,3.2,5.96,44.34,42.36,0.0,9.92,25.39,0.0,33.2,0.0,0.0,28.37,0.0,14.799999999999999,236.56,0.0,291.04,48.64,382.72,80.96000000000001,212.24,366.56,0.0,0.0,1633.52,192.74,11.799059699299672
6,6,2010,Angola,CAPITAL AND FINANCIAL ACCOUNT TRANSACTIONS,INSTITUTIONAL INVESTORS (PENSION FUNDS AND INSURAN,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,9.120000000000001,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,12.16,2.0,16.447368421052634
7,7,2010,Angola,EXCHANGE RATE MEASURES AND ARRANGEMENTS,EXCHANGE RATE REGIME,0.0,0.0,0.06,0.0,0.24,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.48,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.48,0.0,0.0,0.0,1.92,0.42,21.875
8,8,2010,Angola,EXPORTS AND EXPORT PROCEEDS,DOCUMENTATION REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.32,0.0,0.0,0.0,16.32,0.0,16.32,0.0,0.0,0.0,48.96,6.0,12.254901960784313
9,9,2010,Angola,EXPORTS AND EXPORT PROCEEDS,EXPORT LICENSING REQUIREMENTS,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.32,0.0,0.0,0.0,32.32,0.0,32.32,0.0,0.0,0.0,96.96000000000001,6.0,6.188118811881187
10,10,2010,Angola,EXPORTS AND EXPORT PROCEEDS,EXPORT TAXES ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,11,2010,Angola,EXPORTS AND EXPORT PROCEEDS,FINANCING REQUIREMENTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
